District,primary school ranking,kindergarten,pollution complaints,restaurants,supermarkets,clinics,lcsd,open space / city,population,pollution complaints / population,restaurants / population,supermarkets / population,clinics / population,lcsd / population,mtr_station_count,rent,mortgage,primary school,distance,children count,kindergarten / children,primary school / children
Central & Western,265.7692307692308,24,58,1783,126,132,18,0.058821694,235953,0.000245812,0.00755659,0.000534005,0.000559433,7.628637906701758e-05,7,0,1,20,3.657692307692308,139,0.17266187050359713,0.14388489208633093
Eastern,240.07142857142856,47,901,904,210,37,14,0.054207205,529603,0.001701274,0.001706939,0.000396523,6.986365258504956e-05,2.643489557272145e-05,9,0,1,27,5.345960591133005,245,0.19183673469387755,0.11020408163265306
Islands,23.8,25,576,520,73,4,12,0.012673563,185282,0.003108775,0.002806533,0.000393994,2.158871342062369e-05,6.47661402618711e-05,1,1,0,16,11.965,244,0.10245901639344263,0.06557377049180328
Kowloon City,268.4074074074074,45,1299,1026,155,13,16,0.1312960421955815,410634,0.003163401,0.002498575,0.000377465,3.1658362434674186e-05,3.896413838113746e-05,7,0,0,46,4.545347593582888,208,0.21634615384615385,0.22115384615384615
Kwai Tsing,194.42857142857144,56,982,534,176,17,21,0.088088039,495798,0.001980645,0.001077052,0.000354983,3.42881576771185e-05,4.235595948349933e-05,4,0,1,33,6.640344827586207,92,0.6086956521739131,0.358695652173913
Kwun Tong,188.8181818181818,71,1070,870,275,17,25,0.1267980922043695,673166,0.001589504,0.0012924,0.000408517,2.525380069700489e-05,3.71379422014778e-05,5,1,1,34,5.454596774193548,296,0.23986486486486486,0.11486486486486487
North,201.8181818181818,41,1015,382,95,10,17,0.022184024,309631,0.003278096,0.001233727,0.000306817,3.22965077786139e-05,5.490406322364363e-05,3,0,0,30,14.382666666666667,351,0.1168091168091168,0.08547008547008547
Sai Kung,207.4,41,947,590,177,10,22,0.060620591,489037,0.001936459,0.001206453,0.000361936,2.044835053380419e-05,4.498637117436922e-05,5,0,0,27,10.137657657657655,354,0.11581920903954802,0.07627118644067797
Sha Tin,235.6875,58,1046,914,310,26,24,0.1137707023591908,692806,0.001509802,0.001319273,0.000447456,3.752854334402416e-05,3.464173231756076e-05,14,0,1,41,8.74408695652174,154,0.37662337662337664,0.2662337662337662
Sham Shui Po,241.9,46,1379,959,200,28,18,0.078104982,431090,0.003198868,0.002224593,0.00046394,6.495163422951124e-05,4.17546220046858e-05,6,1,0,31,5.5825,233,0.19742489270386265,0.13304721030042918
Southern,249.7142857142857,18,427,331,96,13,14,0.026055063,263278,0.00162186,0.001257226,0.000364634,4.937746412537318e-05,5.317573059655573e-05,4,0,0,13,5.381413043478261,122,0.14754098360655737,0.10655737704918032
Tai Po,208.2,24,840,434,114,14,17,0.021932457,316470,0.00265428,0.001371378,0.000360224,4.4238000442380005e-05,5.3717571965747145e-05,2,0,1,20,10.754045801526717,150,0.16,0.13333333333333333
Tsuen Wan,186.9,31,659,784,130,22,11,0.067524861,320094,0.00205877,0.002449281,0.000406131,6.872981061813093e-05,3.4364905309065464e-05,5,0,0,21,8.905974842767296,204,0.15196078431372548,0.10294117647058823
Tuen Mun,218.3333333333333,58,988,739,190,25,20,0.03053761,506879,0.001949183,0.001457942,0.000374843,4.932143568780715e-05,3.945714855024572e-05,2,1,1,35,14.881818181818184,161,0.36024844720496896,0.21739130434782608
Wan Chai,258.7692307692308,15,1029,1765,108,59,16,0.042749068,166695,0.006172951,0.0105882,0.00064789,0.00035394,9.598368277392844e-05,3,0,0,17,3.580964912280702,82,0.18292682926829268,0.2073170731707317
Wong Tai Sin,195.22222222222223,42,593,496,174,11,22,0.116131371,406802,0.001457712,0.001219266,0.000427727,2.7040181710021093e-05,5.4080363420042185e-05,4,0,0,24,6.095342465753425,184,0.22826086956521738,0.13043478260869565
Yau Tsim Mong,261.8,24,58,3163,223,215,14,0.093846652,310647,0.000186707,0.0101819750391923,0.000717857,0.000692104,4.506723065086738e-05,10,1,1,21,4.176944444444444,164,0.14634146341463414,0.12804878048780488
Yuen Long,195.6875,68,2326,1005,252,29,19,0.026334623,668080,0.003481619,0.001504311,0.0003772,4.340797509280325e-05,2.8439707819422825e-05,5,1,1,51,15.650753138075316,262,0.2595419847328244,0.1946564885496183
